12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[126] [SAMSUNG] KA100O015E_BJTT/KF94G16Q4V     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[127] [SAMSUNG] KF94G16Q4V                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[128] [SAMSUNG] KF94G16Q4X                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[129] [Micron] MT29C4G96MAZAPCJA_5IT           (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[130] [Micron] NAND_MT29C4G48MAAHBAAKS_5WT     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[131] [Micron] NAND_MT29C8G96MAZBADKD_5WT      (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[132] [SAMSUNG] KF98G16Q4X                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[133] [TOSHIBA] NAND_TY58NYG2S8E               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[134] [SAMSUNG] K9K8G16U0K                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[135] [TOSHIBA] TYBC0A111557KC                 (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[148] [Hynix] H9TA4GH2GDMCPR                   (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[149] [Hynix] H9DA4VH2GJMMCR_4EM               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[150] [Acsip] A5R4GA41ATS                      (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[151] [Spansion] KEM51200_NADGSBXM2C32         (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[153] [Gigadevice] GD5F4GQ4UAYIG               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[65535] NAND_UNKNOWN                             (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: ================= STATUS_E CODE BEGIN =================== (FlashToolLib/sv5/common/interface/src/brom.cpp:714)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (   0) S_DONE                                             (FlashToolLib/sv5/common/interface/src/brom.cpp:715)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: (1000) S_STOP                                             (FlashToolLib/sv5/common/interface/src/brom.cpp:717)
